x,y
0.31687668,0.45228259
0.31687668,0.45207829
0.31687668,0.45187400
0.31687668,0.45166970
0.31687668,0.45146541
0.31687668,0.45126111
0.31687668,0.45105682
0.31687668,0.45085253
0.31687668,0.45064823
0.31687668,0.45044394
0.31687668,0.45023964
0.31687668,0.45003535
0.31687668,0.44983105
0.31687668,0.44962676
0.31687668,0.44942247
0.31687668,0.44921817
0.31687668,0.44901388
0.31687668,0.44880958
0.31687668,0.44860529
0.31687668,0.44840099
0.31687668,0.44819670
0.31687668,0.44799240
0.31687668,0.44778811
0.31687668,0.44758382
0.31687668,0.44737952
0.31687668,0.44717523
0.31687668,0.44697093
0.31687668,0.44676664
0.31687668,0.44656234
0.31687668,0.44635805
0.31687668,0.44615376
0.31687668,0.44594946
0.31687668,0.44574517
0.31687668,0.44554087
0.31687668,0.44533658
0.31687668,0.44513228
0.31687668,0.44492799
0.31687668,0.44472369
0.31687668,0.44451940
0.31687668,0.44431511
0.31687668,0.44411081
0.31687668,0.44390652
0.31687668,0.44370222
0.31687668,0.44349793
0.31687668,0.44329363
0.31687668,0.44308934
0.31687668,0.44288505
0.31687668,0.44268075
0.31687668,0.44247646
0.31687668,0.44227216
0.31687668,0.44206787
0.31687668,0.44186357
0.31687668,0.44165928
0.31687668,0.44145499
0.31687668,0.44125069
0.31687668,0.44104640
0.31687668,0.44084210
0.31687668,0.44063781
0.31687668,0.44043351
0.31687668,0.44022922
0.31687668,0.44002492
0.31687668,0.43982063
0.31687668,0.43961634
0.31687668,0.43941204
0.31687668,0.43920775
0.31687668,0.43900345
0.31687668,0.43879916
0.31687668,0.43859486
0.31687668,0.43839057
0.31687668,0.43818628
0.31687668,0.43798198
0.31687668,0.43777769
0.31687668,0.43757339
0.31687668,0.43736910
0.31687668,0.43716480
0.31687668,0.43696051
0.31687668,0.43675622
0.31687668,0.43655192
0.31687668,0.43634763
0.31687668,0.43614333
0.31687668,0.43593904
0.31687668,0.43573474
0.31687668,0.43553045
0.31687668,0.43532615
0.31687668,0.43512186
0.31687668,0.43491757
0.31687668,0.43471327
0.31687668,0.43450898
0.31687668,0.43430468
0.31687668,0.43410039
0.31687668,0.43389609
0.31687668,0.43369180
0.31687668,0.43348751
0.31687668,0.43328321
0.31687668,0.43307892
0.31687668,0.43287462
0.31687668,0.43267033
0.31687668,0.43246603
0.31687668,0.43226174
0.31687668,0.43205744
0.31687668,0.43185315
0.31687668,0.43164886
0.31687668,0.43144456
0.31687668,0.43124027
0.31687668,0.43103597
0.31687668,0.43083168
0.31687668,0.43062738
0.31687668,0.43042309
0.31687668,0.43021880
0.31687668,0.43001450
0.31687668,0.42981021
0.31687668,0.42960591
0.31687668,0.42940162
0.31687668,0.42919732
0.31687668,0.42899303
0.31687668,0.42878874
0.31687668,0.42858444
0.31687668,0.42838015
0.31687668,0.42817585
0.31687668,0.42797156
0.31687668,0.42776726
0.31687668,0.42756297
0.31687668,0.42735867
0.31687668,0.42715438
0.31687668,0.42695009
0.31687668,0.42674579
0.31687668,0.42654150
0.31687668,0.42633720
0.31687668,0.42613291
0.31687668,0.42592861
0.31687668,0.42572432
0.31687668,0.42552003
0.31687668,0.42531573
0.31687668,0.42511144
0.31687668,0.42490714
0.31687668,0.42470285
0.31687668,0.42449855
0.31687668,0.42429426
0.31687668,0.42408996
0.31687668,0.42388567
0.31687668,0.42368138
0.31687668,0.42347708
0.31687668,0.42327279
0.31687668,0.42306849
0.31687668,0.42286420
0.31687668,0.42265990
0.31687668,0.42245561
0.31687668,0.42225132
0.31687668,0.42204702
0.31687668,0.42184273
0.31687668,0.42163843
0.31687668,0.42143414
0.31687668,0.42122984
0.31687668,0.42102555
0.31687668,0.42082126
0.31687668,0.42061696
0.31687668,0.42041267
0.31687668,0.42020837
0.31687668,0.42000408
0.31687668,0.41979978
0.31687668,0.41959549
0.31687668,0.41939119
0.31687668,0.41918690
0.31687668,0.41898261
0.31687668,0.41877831
0.31687668,0.41857402
0.31687668,0.41836972
0.31687668,0.41816543
0.31687668,0.41796113
0.31687668,0.41775684
0.31687668,0.41755255
0.31687668,0.41734825
0.31687668,0.41714396
0.31687668,0.41693966
0.31687668,0.41673537
0.31687668,0.41653107
0.31687668,0.41632678
0.31687668,0.41612248
0.31687668,0.41591819
0.31687668,0.41571390
0.31687668,0.41550960
0.31687668,0.41530531
0.31687668,0.41510101
